=== WEIGHTS ONLY ===
Total weights: 288,122,268
1144.weight: 165,952/166,448 zeros (99.70%)
1146.weight: 165,960/166,448 zeros (99.71%)
1148.weight: 165,964/166,448 zeros (99.71%)
1150.weight: 164,368/164,832 zeros (99.72%)
1152.weight: 162,744/163,200 zeros (99.72%)
1154.weight: 140,370/140,800 zeros (99.69%)
1156.weight: 100,994/101,376 zeros (99.62%)
1158.weight: 82,464/82,944 zeros (99.42%)
1160.weight: 73,440/73,728 zeros (99.61%)
1162.weight: 81,283/81,664 zeros (99.53%)
1164.weight: 91,553/91,872 zeros (99.65%)
1166.weight: 91,206/91,584 zeros (99.59%)
1168.weight: 91,266/91,584 zeros (99.65%)
1170.weight: 90,636/91,008 zeros (99.59%)
1172.weight: 90,692/91,008 zeros (99.65%)
1174.weight: 89,496/89,856 zeros (99.60%)
1176.weight: 89,544/89,856 zeros (99.65%)
1178.weight: 87,216/87,552 zeros (99.62%)
1180.weight: 87,248/87,552 zeros (99.65%)
1182.weight: 73,410/73,728 zeros (99.57%)
1184.weight: 73,248/73,728 zeros (99.35%)
1186.weight: 73,440/73,728 zeros (99.61%)
1188.weight: 81,283/81,664 zeros (99.53%)
1190.weight: 91,553/91,872 zeros (99.65%)
1192.weight: 91,206/91,584 zeros (99.59%)
1194.weight: 91,266/91,584 zeros (99.65%)
1196.weight: 90,636/91,008 zeros (99.59%)
1198.weight: 90,692/91,008 zeros (99.65%)
1200.weight: 89,496/89,856 zeros (99.60%)
1202.weight: 89,544/89,856 zeros (99.65%)
1204.weight: 87,216/87,552 zeros (99.62%)
1206.weight: 87,248/87,552 zeros (99.65%)
1208.weight: 73,410/73,728 zeros (99.57%)
1210.weight: 85,552/86,016 zeros (99.46%)
1212.weight: 99,120/99,456 zeros (99.66%)
1214.weight: 100,204/100,640 zeros (99.57%)
1216.weight: 112,412/112,880 zeros (99.59%)
1218.weight: 124,031/124,500 zeros (99.62%)
1220.weight: 149,125/149,625 zeros (99.67%)
1222.weight: 163,089/163,590 zeros (99.69%)
1224.weight: 164,320/164,820 zeros (99.70%)
1226.weight: 165,126/165,624 zeros (99.70%)
1228.weight: 165,952/166,448 zeros (99.70%)
1230.weight: 165,960/166,448 zeros (99.71%)
1232.weight: 165,964/166,448 zeros (99.71%)
1234.weight: 164,368/164,832 zeros (99.72%)
1236.weight: 162,744/163,200 zeros (99.72%)
1238.weight: 140,370/140,800 zeros (99.69%)
1240.weight: 100,994/101,376 zeros (99.62%)
1242.weight: 82,464/82,944 zeros (99.42%)
1244.weight: 73,440/73,728 zeros (99.61%)
1246.weight: 81,283/81,664 zeros (99.53%)
1248.weight: 91,553/91,872 zeros (99.65%)
1250.weight: 91,206/91,584 zeros (99.59%)
1252.weight: 91,266/91,584 zeros (99.65%)
1254.weight: 90,636/91,008 zeros (99.59%)
1256.weight: 90,692/91,008 zeros (99.65%)
1258.weight: 89,496/89,856 zeros (99.60%)
1260.weight: 89,544/89,856 zeros (99.65%)
1262.weight: 87,216/87,552 zeros (99.62%)
1264.weight: 87,248/87,552 zeros (99.65%)
1266.weight: 73,410/73,728 zeros (99.57%)
1268.weight: 73,248/73,728 zeros (99.35%)
1270.weight: 73,440/73,728 zeros (99.61%)
1272.weight: 81,283/81,664 zeros (99.53%)
1274.weight: 91,553/91,872 zeros (99.65%)
1276.weight: 91,206/91,584 zeros (99.59%)
1278.weight: 91,266/91,584 zeros (99.65%)
1280.weight: 90,636/91,008 zeros (99.59%)
1282.weight: 90,692/91,008 zeros (99.65%)
1284.weight: 89,496/89,856 zeros (99.60%)
1286.weight: 89,544/89,856 zeros (99.65%)
1288.weight: 87,216/87,552 zeros (99.62%)
1290.weight: 87,248/87,552 zeros (99.65%)
1292.weight: 73,410/73,728 zeros (99.57%)
1294.weight: 85,552/86,016 zeros (99.46%)
1296.weight: 99,120/99,456 zeros (99.66%)
1298.weight: 100,204/100,640 zeros (99.57%)
1300.weight: 112,412/112,880 zeros (99.59%)
1302.weight: 124,031/124,500 zeros (99.62%)
1304.weight: 149,125/149,625 zeros (99.67%)
1306.weight: 163,089/163,590 zeros (99.69%)
1308.weight: 164,320/164,820 zeros (99.70%)
1310.weight: 165,126/165,624 zeros (99.70%)
1312.weight: 165,952/166,448 zeros (99.70%)
1314.weight: 165,960/166,448 zeros (99.71%)
1316.weight: 165,964/166,448 zeros (99.71%)
1318.weight: 164,368/164,832 zeros (99.72%)
1320.weight: 162,744/163,200 zeros (99.72%)
1322.weight: 140,370/140,800 zeros (99.69%)
1324.weight: 100,994/101,376 zeros (99.62%)
1326.weight: 82,464/82,944 zeros (99.42%)
1328.weight: 73,440/73,728 zeros (99.61%)
1330.weight: 81,283/81,664 zeros (99.53%)
1332.weight: 91,553/91,872 zeros (99.65%)
1334.weight: 91,206/91,584 zeros (99.59%)
1336.weight: 91,266/91,584 zeros (99.65%)
1338.weight: 90,636/91,008 zeros (99.59%)
1340.weight: 90,692/91,008 zeros (99.65%)
1342.weight: 89,496/89,856 zeros (99.60%)
1344.weight: 89,544/89,856 zeros (99.65%)
1346.weight: 87,216/87,552 zeros (99.62%)
1348.weight: 87,248/87,552 zeros (99.65%)
1350.weight: 73,410/73,728 zeros (99.57%)
1352.weight: 73,248/73,728 zeros (99.35%)
1354.weight: 73,440/73,728 zeros (99.61%)
1356.weight: 81,283/81,664 zeros (99.53%)
1358.weight: 91,553/91,872 zeros (99.65%)
1360.weight: 91,206/91,584 zeros (99.59%)
1362.weight: 91,266/91,584 zeros (99.65%)
1364.weight: 90,636/91,008 zeros (99.59%)
1366.weight: 90,692/91,008 zeros (99.65%)
1368.weight: 89,496/89,856 zeros (99.60%)
1370.weight: 89,544/89,856 zeros (99.65%)
1372.weight: 87,216/87,552 zeros (99.62%)
1374.weight: 87,248/87,552 zeros (99.65%)
1376.weight: 73,410/73,728 zeros (99.57%)
1378.weight: 85,584/86,016 zeros (99.50%)
1380.weight: 99,120/99,456 zeros (99.66%)
1382.weight: 100,204/100,640 zeros (99.57%)
1384.weight: 112,412/112,880 zeros (99.59%)
1386.weight: 124,031/124,500 zeros (99.62%)
1388.weight: 149,125/149,625 zeros (99.67%)
1390.weight: 163,089/163,590 zeros (99.69%)
1392.weight: 164,320/164,820 zeros (99.70%)
1394.weight: 165,126/165,624 zeros (99.70%)
1396.weight: 165,952/166,448 zeros (99.70%)
1398.weight: 165,960/166,448 zeros (99.71%)
1400.weight: 165,964/166,448 zeros (99.71%)
1402.weight: 164,368/164,832 zeros (99.72%)
1404.weight: 162,744/163,200 zeros (99.72%)
1406.weight: 140,370/140,800 zeros (99.69%)
1408.weight: 100,994/101,376 zeros (99.62%)
1410.weight: 82,464/82,944 zeros (99.42%)
1412.weight: 73,440/73,728 zeros (99.61%)
1414.weight: 81,283/81,664 zeros (99.53%)
1416.weight: 91,553/91,872 zeros (99.65%)
1418.weight: 91,206/91,584 zeros (99.59%)
1420.weight: 91,266/91,584 zeros (99.65%)
1422.weight: 90,636/91,008 zeros (99.59%)
1424.weight: 90,692/91,008 zeros (99.65%)
1426.weight: 89,496/89,856 zeros (99.60%)
1428.weight: 89,544/89,856 zeros (99.65%)
1430.weight: 87,216/87,552 zeros (99.62%)
1432.weight: 87,248/87,552 zeros (99.65%)
1434.weight: 73,410/73,728 zeros (99.57%)
1436.weight: 73,248/73,728 zeros (99.35%)
1438.weight: 73,440/73,728 zeros (99.61%)
1440.weight: 81,283/81,664 zeros (99.53%)
1442.weight: 91,553/91,872 zeros (99.65%)
1444.weight: 91,206/91,584 zeros (99.59%)
1446.weight: 91,266/91,584 zeros (99.65%)
1448.weight: 90,636/91,008 zeros (99.59%)
1450.weight: 90,692/91,008 zeros (99.65%)
1452.weight: 89,496/89,856 zeros (99.60%)
1454.weight: 89,544/89,856 zeros (99.65%)
1456.weight: 87,216/87,552 zeros (99.62%)
1458.weight: 87,248/87,552 zeros (99.65%)
1460.weight: 73,410/73,728 zeros (99.57%)
1462.weight: 85,584/86,016 zeros (99.50%)
1464.weight: 99,120/99,456 zeros (99.66%)
1466.weight: 100,204/100,640 zeros (99.57%)
1468.weight: 112,412/112,880 zeros (99.59%)
1470.weight: 124,031/124,500 zeros (99.62%)
1472.weight: 149,125/149,625 zeros (99.67%)
1474.weight: 163,089/163,590 zeros (99.69%)
1476.weight: 164,320/164,820 zeros (99.70%)
1478.weight: 165,126/165,624 zeros (99.70%)
1480.weight: 165,952/166,448 zeros (99.70%)
1482.weight: 165,960/166,448 zeros (99.71%)
1484.weight: 165,964/166,448 zeros (99.71%)
1486.weight: 164,368/164,832 zeros (99.72%)
1488.weight: 162,744/163,200 zeros (99.72%)
1490.weight: 140,370/140,800 zeros (99.69%)
1492.weight: 100,994/101,376 zeros (99.62%)
1494.weight: 82,464/82,944 zeros (99.42%)
1496.weight: 73,440/73,728 zeros (99.61%)
1498.weight: 81,283/81,664 zeros (99.53%)
1500.weight: 91,553/91,872 zeros (99.65%)
1502.weight: 91,206/91,584 zeros (99.59%)
1504.weight: 91,266/91,584 zeros (99.65%)
1506.weight: 90,636/91,008 zeros (99.59%)
1508.weight: 90,692/91,008 zeros (99.65%)
1510.weight: 89,496/89,856 zeros (99.60%)
1512.weight: 89,544/89,856 zeros (99.65%)
1514.weight: 87,216/87,552 zeros (99.62%)
1516.weight: 87,248/87,552 zeros (99.65%)
1518.weight: 73,410/73,728 zeros (99.57%)
1520.weight: 73,248/73,728 zeros (99.35%)
1522.weight: 73,440/73,728 zeros (99.61%)
1524.weight: 81,283/81,664 zeros (99.53%)
1526.weight: 91,553/91,872 zeros (99.65%)
1528.weight: 91,206/91,584 zeros (99.59%)
1530.weight: 91,266/91,584 zeros (99.65%)
1532.weight: 90,636/91,008 zeros (99.59%)
1534.weight: 90,692/91,008 zeros (99.65%)
1536.weight: 89,496/89,856 zeros (99.60%)
1538.weight: 89,544/89,856 zeros (99.65%)
1540.weight: 87,216/87,552 zeros (99.62%)
1542.weight: 87,248/87,552 zeros (99.65%)
1544.weight: 73,410/73,728 zeros (99.57%)
1546.weight: 85,584/86,016 zeros (99.50%)
1548.weight: 99,120/99,456 zeros (99.66%)
1550.weight: 100,204/100,640 zeros (99.57%)
1552.weight: 112,412/112,880 zeros (99.59%)
1554.weight: 124,031/124,500 zeros (99.62%)
1556.weight: 149,125/149,625 zeros (99.67%)
1558.weight: 163,089/163,590 zeros (99.69%)
1560.weight: 164,320/164,820 zeros (99.70%)
1562.weight: 165,126/165,624 zeros (99.70%)
1564.weight: 165,952/166,448 zeros (99.70%)
1566.weight: 165,960/166,448 zeros (99.71%)
1568.weight: 165,964/166,448 zeros (99.71%)
1570.weight: 164,368/164,832 zeros (99.72%)
1572.weight: 162,744/163,200 zeros (99.72%)
1574.weight: 140,370/140,800 zeros (99.69%)
1576.weight: 100,994/101,376 zeros (99.62%)
1578.weight: 82,464/82,944 zeros (99.42%)
1580.weight: 73,440/73,728 zeros (99.61%)
1582.weight: 81,283/81,664 zeros (99.53%)
1584.weight: 91,553/91,872 zeros (99.65%)
1586.weight: 91,206/91,584 zeros (99.59%)
1588.weight: 91,266/91,584 zeros (99.65%)
1590.weight: 90,636/91,008 zeros (99.59%)
1592.weight: 90,692/91,008 zeros (99.65%)
1594.weight: 89,496/89,856 zeros (99.60%)
1596.weight: 89,544/89,856 zeros (99.65%)
1598.weight: 87,216/87,552 zeros (99.62%)
1600.weight: 87,248/87,552 zeros (99.65%)
1602.weight: 73,410/73,728 zeros (99.57%)
1604.weight: 73,248/73,728 zeros (99.35%)
1606.weight: 73,440/73,728 zeros (99.61%)
1608.weight: 81,283/81,664 zeros (99.53%)
1610.weight: 91,553/91,872 zeros (99.65%)
1612.weight: 91,206/91,584 zeros (99.59%)
1614.weight: 91,266/91,584 zeros (99.65%)
1616.weight: 90,636/91,008 zeros (99.59%)
1618.weight: 90,692/91,008 zeros (99.65%)
1620.weight: 89,496/89,856 zeros (99.60%)
1622.weight: 89,544/89,856 zeros (99.65%)
1624.weight: 87,216/87,552 zeros (99.62%)
1626.weight: 87,248/87,552 zeros (99.65%)
1628.weight: 73,410/73,728 zeros (99.57%)
1630.weight: 85,584/86,016 zeros (99.50%)
1632.weight: 99,120/99,456 zeros (99.66%)
1634.weight: 100,204/100,640 zeros (99.57%)
1636.weight: 112,412/112,880 zeros (99.59%)
1638.weight: 124,031/124,500 zeros (99.62%)
1640.weight: 149,125/149,625 zeros (99.67%)
1642.weight: 163,089/163,590 zeros (99.69%)
1644.weight: 164,320/164,820 zeros (99.70%)
1646.weight: 165,126/165,624 zeros (99.70%)
1648.weight: 165,952/166,448 zeros (99.70%)
1650.weight: 165,960/166,448 zeros (99.71%)
1652.weight: 165,964/166,448 zeros (99.71%)
1654.weight: 164,368/164,832 zeros (99.72%)
1656.weight: 162,744/163,200 zeros (99.72%)
1658.weight: 140,370/140,800 zeros (99.69%)
1660.weight: 100,994/101,376 zeros (99.62%)
1662.weight: 82,464/82,944 zeros (99.42%)
1664.weight: 73,440/73,728 zeros (99.61%)
1666.weight: 81,283/81,664 zeros (99.53%)
1668.weight: 91,553/91,872 zeros (99.65%)
1670.weight: 91,206/91,584 zeros (99.59%)
1672.weight: 91,266/91,584 zeros (99.65%)
1674.weight: 90,636/91,008 zeros (99.59%)
1676.weight: 90,692/91,008 zeros (99.65%)
1678.weight: 89,496/89,856 zeros (99.60%)
1680.weight: 89,544/89,856 zeros (99.65%)
1682.weight: 87,216/87,552 zeros (99.62%)
1684.weight: 87,248/87,552 zeros (99.65%)
1686.weight: 73,410/73,728 zeros (99.57%)
1688.weight: 73,248/73,728 zeros (99.35%)
1690.weight: 73,440/73,728 zeros (99.61%)
1692.weight: 81,283/81,664 zeros (99.53%)
1694.weight: 91,553/91,872 zeros (99.65%)
1696.weight: 91,206/91,584 zeros (99.59%)
1698.weight: 91,266/91,584 zeros (99.65%)
1700.weight: 90,636/91,008 zeros (99.59%)
1702.weight: 90,692/91,008 zeros (99.65%)
1704.weight: 89,496/89,856 zeros (99.60%)
1706.weight: 89,544/89,856 zeros (99.65%)
1708.weight: 87,216/87,552 zeros (99.62%)
1710.weight: 87,248/87,552 zeros (99.65%)
1712.weight: 73,410/73,728 zeros (99.57%)
1714.weight: 85,584/86,016 zeros (99.50%)
1716.weight: 99,120/99,456 zeros (99.66%)
1718.weight: 100,204/100,640 zeros (99.57%)
1720.weight: 112,412/112,880 zeros (99.59%)
1722.weight: 124,031/124,500 zeros (99.62%)
1724.weight: 149,125/149,625 zeros (99.67%)
1726.weight: 163,089/163,590 zeros (99.69%)
1728.weight: 164,320/164,820 zeros (99.70%)
1730.weight: 165,126/165,624 zeros (99.70%)
1732.weight: 165,952/166,448 zeros (99.70%)
1734.weight: 165,960/166,448 zeros (99.71%)
1736.weight: 165,964/166,448 zeros (99.71%)
1738.weight: 164,368/164,832 zeros (99.72%)
1740.weight: 162,744/163,200 zeros (99.72%)
1742.weight: 140,370/140,800 zeros (99.69%)
1744.weight: 100,994/101,376 zeros (99.62%)
1746.weight: 82,464/82,944 zeros (99.42%)
1748.weight: 73,440/73,728 zeros (99.61%)
1750.weight: 81,283/81,664 zeros (99.53%)
1752.weight: 91,553/91,872 zeros (99.65%)
1754.weight: 91,206/91,584 zeros (99.59%)
1756.weight: 91,266/91,584 zeros (99.65%)
1758.weight: 90,636/91,008 zeros (99.59%)
1760.weight: 90,692/91,008 zeros (99.65%)
1762.weight: 89,496/89,856 zeros (99.60%)
1764.weight: 89,544/89,856 zeros (99.65%)
1766.weight: 87,216/87,552 zeros (99.62%)
1768.weight: 87,248/87,552 zeros (99.65%)
1770.weight: 73,410/73,728 zeros (99.57%)
1772.weight: 73,248/73,728 zeros (99.35%)
1774.weight: 73,440/73,728 zeros (99.61%)
1776.weight: 81,283/81,664 zeros (99.53%)
1778.weight: 91,553/91,872 zeros (99.65%)
1780.weight: 91,206/91,584 zeros (99.59%)
1782.weight: 91,266/91,584 zeros (99.65%)
1784.weight: 90,636/91,008 zeros (99.59%)
1786.weight: 90,692/91,008 zeros (99.65%)
1788.weight: 89,496/89,856 zeros (99.60%)
1790.weight: 89,544/89,856 zeros (99.65%)
1792.weight: 87,216/87,552 zeros (99.62%)
1794.weight: 87,248/87,552 zeros (99.65%)
1796.weight: 73,410/73,728 zeros (99.57%)
1798.weight: 85,584/86,016 zeros (99.50%)
1800.weight: 99,120/99,456 zeros (99.66%)
1802.weight: 100,204/100,640 zeros (99.57%)
1804.weight: 112,412/112,880 zeros (99.59%)
1806.weight: 124,031/124,500 zeros (99.62%)
1808.weight: 149,125/149,625 zeros (99.67%)
1810.weight: 163,089/163,590 zeros (99.69%)
1812.weight: 164,320/164,820 zeros (99.70%)
1814.weight: 165,126/165,624 zeros (99.70%)
1816.weight: 165,952/166,448 zeros (99.70%)
1818.weight: 165,960/166,448 zeros (99.71%)
1820.weight: 165,964/166,448 zeros (99.71%)
1822.weight: 164,368/164,832 zeros (99.72%)
1824.weight: 162,744/163,200 zeros (99.72%)
1826.weight: 140,370/140,800 zeros (99.69%)
1828.weight: 100,994/101,376 zeros (99.62%)
1830.weight: 82,464/82,944 zeros (99.42%)
1832.weight: 73,440/73,728 zeros (99.61%)
1834.weight: 81,283/81,664 zeros (99.53%)
1836.weight: 91,553/91,872 zeros (99.65%)
1838.weight: 91,206/91,584 zeros (99.59%)
1840.weight: 91,266/91,584 zeros (99.65%)
1842.weight: 90,636/91,008 zeros (99.59%)
1844.weight: 90,692/91,008 zeros (99.65%)
1846.weight: 89,496/89,856 zeros (99.60%)
1848.weight: 89,544/89,856 zeros (99.65%)
1850.weight: 87,216/87,552 zeros (99.62%)
1852.weight: 87,248/87,552 zeros (99.65%)
1854.weight: 73,410/73,728 zeros (99.57%)
1856.weight: 73,248/73,728 zeros (99.35%)
1858.weight: 73,440/73,728 zeros (99.61%)
1860.weight: 81,283/81,664 zeros (99.53%)
1862.weight: 91,553/91,872 zeros (99.65%)
1864.weight: 91,206/91,584 zeros (99.59%)
1866.weight: 91,266/91,584 zeros (99.65%)
1868.weight: 90,636/91,008 zeros (99.59%)
1870.weight: 90,692/91,008 zeros (99.65%)
1872.weight: 89,496/89,856 zeros (99.60%)
1874.weight: 89,544/89,856 zeros (99.65%)
1876.weight: 87,216/87,552 zeros (99.62%)
1878.weight: 87,248/87,552 zeros (99.65%)
1880.weight: 73,410/73,728 zeros (99.57%)
1882.weight: 85,584/86,016 zeros (99.50%)
1884.weight: 99,120/99,456 zeros (99.66%)
1886.weight: 100,204/100,640 zeros (99.57%)
1888.weight: 112,412/112,880 zeros (99.59%)
1890.weight: 124,031/124,500 zeros (99.62%)
1892.weight: 149,125/149,625 zeros (99.67%)
1894.weight: 163,089/163,590 zeros (99.69%)
1896.weight: 164,320/164,820 zeros (99.70%)
1898.weight: 165,126/165,624 zeros (99.70%)
1900.weight: 165,952/166,448 zeros (99.70%)
1902.weight: 165,960/166,448 zeros (99.71%)
1904.weight: 165,964/166,448 zeros (99.71%)
1906.weight: 164,368/164,832 zeros (99.72%)
1908.weight: 162,744/163,200 zeros (99.72%)
1910.weight: 140,370/140,800 zeros (99.69%)
1912.weight: 100,994/101,376 zeros (99.62%)
1914.weight: 82,464/82,944 zeros (99.42%)
1916.weight: 73,440/73,728 zeros (99.61%)
1918.weight: 81,283/81,664 zeros (99.53%)
1920.weight: 91,553/91,872 zeros (99.65%)
1922.weight: 91,206/91,584 zeros (99.59%)
1924.weight: 91,266/91,584 zeros (99.65%)
1926.weight: 90,636/91,008 zeros (99.59%)
1928.weight: 90,692/91,008 zeros (99.65%)
1930.weight: 89,496/89,856 zeros (99.60%)
1932.weight: 89,544/89,856 zeros (99.65%)
1934.weight: 87,216/87,552 zeros (99.62%)
1936.weight: 87,248/87,552 zeros (99.65%)
1938.weight: 73,410/73,728 zeros (99.57%)
1940.weight: 73,248/73,728 zeros (99.35%)
1942.weight: 73,440/73,728 zeros (99.61%)
1944.weight: 81,283/81,664 zeros (99.53%)
1946.weight: 91,553/91,872 zeros (99.65%)
1948.weight: 91,206/91,584 zeros (99.59%)
1950.weight: 91,266/91,584 zeros (99.65%)
1952.weight: 90,636/91,008 zeros (99.59%)
1954.weight: 90,692/91,008 zeros (99.65%)
1956.weight: 89,496/89,856 zeros (99.60%)
1958.weight: 89,544/89,856 zeros (99.65%)
1960.weight: 87,216/87,552 zeros (99.62%)
1962.weight: 87,248/87,552 zeros (99.65%)
1964.weight: 73,410/73,728 zeros (99.57%)
1966.weight: 85,584/86,016 zeros (99.50%)
1968.weight: 99,120/99,456 zeros (99.66%)
1970.weight: 100,204/100,640 zeros (99.57%)
1972.weight: 112,412/112,880 zeros (99.59%)
1974.weight: 124,031/124,500 zeros (99.62%)
1976.weight: 149,125/149,625 zeros (99.67%)
1978.weight: 163,089/163,590 zeros (99.69%)
1980.weight: 164,320/164,820 zeros (99.70%)
1982.weight: 165,126/165,624 zeros (99.70%)
1984.weight: 165,952/166,448 zeros (99.70%)
1986.weight: 165,960/166,448 zeros (99.71%)
1988.weight: 165,964/166,448 zeros (99.71%)
1990.weight: 164,368/164,832 zeros (99.72%)
1992.weight: 162,744/163,200 zeros (99.72%)
1994.weight: 140,370/140,800 zeros (99.69%)
1996.weight: 100,994/101,376 zeros (99.62%)
1998.weight: 82,464/82,944 zeros (99.42%)
2000.weight: 73,440/73,728 zeros (99.61%)
2002.weight: 81,283/81,664 zeros (99.53%)
2004.weight: 91,553/91,872 zeros (99.65%)
2006.weight: 91,206/91,584 zeros (99.59%)
2008.weight: 91,266/91,584 zeros (99.65%)
2010.weight: 90,636/91,008 zeros (99.59%)
2012.weight: 90,692/91,008 zeros (99.65%)
2014.weight: 89,496/89,856 zeros (99.60%)
2016.weight: 89,544/89,856 zeros (99.65%)
2018.weight: 87,216/87,552 zeros (99.62%)
2020.weight: 87,248/87,552 zeros (99.65%)
2022.weight: 73,410/73,728 zeros (99.57%)
2024.weight: 73,248/73,728 zeros (99.35%)
2026.weight: 73,440/73,728 zeros (99.61%)
2028.weight: 81,283/81,664 zeros (99.53%)
2030.weight: 91,553/91,872 zeros (99.65%)
2032.weight: 91,206/91,584 zeros (99.59%)
2034.weight: 91,266/91,584 zeros (99.65%)
2036.weight: 90,636/91,008 zeros (99.59%)
2038.weight: 90,692/91,008 zeros (99.65%)
2040.weight: 89,496/89,856 zeros (99.60%)
2042.weight: 89,544/89,856 zeros (99.65%)
2044.weight: 87,216/87,552 zeros (99.62%)
2046.weight: 87,248/87,552 zeros (99.65%)
2048.weight: 73,410/73,728 zeros (99.57%)
2050.weight: 85,584/86,016 zeros (99.50%)
2052.weight: 99,120/99,456 zeros (99.66%)
2054.weight: 100,204/100,640 zeros (99.57%)
2056.weight: 112,412/112,880 zeros (99.59%)
2058.weight: 124,031/124,500 zeros (99.62%)
2060.weight: 149,125/149,625 zeros (99.67%)
2062.weight: 163,089/163,590 zeros (99.69%)
2064.weight: 164,320/164,820 zeros (99.70%)
2066.weight: 165,126/165,624 zeros (99.70%)
2068.weight: 165,952/166,448 zeros (99.70%)
2070.weight: 165,960/166,448 zeros (99.71%)
2072.weight: 165,964/166,448 zeros (99.71%)
2074.weight: 164,368/164,832 zeros (99.72%)
2076.weight: 162,744/163,200 zeros (99.72%)
2078.weight: 140,370/140,800 zeros (99.69%)
2080.weight: 100,994/101,376 zeros (99.62%)
2082.weight: 82,464/82,944 zeros (99.42%)
2084.weight: 73,440/73,728 zeros (99.61%)
2086.weight: 81,283/81,664 zeros (99.53%)
2088.weight: 91,553/91,872 zeros (99.65%)
2090.weight: 91,206/91,584 zeros (99.59%)
2092.weight: 91,266/91,584 zeros (99.65%)
2094.weight: 90,636/91,008 zeros (99.59%)
2096.weight: 90,692/91,008 zeros (99.65%)
2098.weight: 89,496/89,856 zeros (99.60%)
2100.weight: 89,544/89,856 zeros (99.65%)
2102.weight: 87,216/87,552 zeros (99.62%)
2104.weight: 87,248/87,552 zeros (99.65%)
2106.weight: 73,410/73,728 zeros (99.57%)
2108.weight: 73,248/73,728 zeros (99.35%)
2110.weight: 73,440/73,728 zeros (99.61%)
2112.weight: 81,283/81,664 zeros (99.53%)
2114.weight: 91,553/91,872 zeros (99.65%)
2116.weight: 91,206/91,584 zeros (99.59%)
2118.weight: 91,266/91,584 zeros (99.65%)
2120.weight: 90,636/91,008 zeros (99.59%)
2122.weight: 90,692/91,008 zeros (99.65%)
2124.weight: 89,496/89,856 zeros (99.60%)
2126.weight: 89,544/89,856 zeros (99.65%)
2128.weight: 87,216/87,552 zeros (99.62%)
2130.weight: 87,248/87,552 zeros (99.65%)
2132.weight: 73,410/73,728 zeros (99.57%)
2134.weight: 85,584/86,016 zeros (99.50%)
2136.weight: 99,120/99,456 zeros (99.66%)
2138.weight: 100,204/100,640 zeros (99.57%)
2140.weight: 112,412/112,880 zeros (99.59%)
2142.weight: 124,031/124,500 zeros (99.62%)
2144.weight: 149,125/149,625 zeros (99.67%)
2146.weight: 163,089/163,590 zeros (99.69%)
2148.weight: 164,320/164,820 zeros (99.70%)
2150.weight: 165,126/165,624 zeros (99.70%)
2152.weight: 165,952/166,448 zeros (99.70%)
2154.weight: 165,960/166,448 zeros (99.71%)
2156.weight: 165,964/166,448 zeros (99.71%)
2158.weight: 164,368/164,832 zeros (99.72%)
2160.weight: 162,744/163,200 zeros (99.72%)
2162.weight: 140,370/140,800 zeros (99.69%)
2164.weight: 100,994/101,376 zeros (99.62%)
2166.weight: 82,464/82,944 zeros (99.42%)
2168.weight: 73,440/73,728 zeros (99.61%)
2170.weight: 81,283/81,664 zeros (99.53%)
2172.weight: 91,553/91,872 zeros (99.65%)
2174.weight: 91,206/91,584 zeros (99.59%)
2176.weight: 91,266/91,584 zeros (99.65%)
2178.weight: 90,636/91,008 zeros (99.59%)
2180.weight: 90,692/91,008 zeros (99.65%)
2182.weight: 89,496/89,856 zeros (99.60%)
2184.weight: 89,544/89,856 zeros (99.65%)
2186.weight: 87,216/87,552 zeros (99.62%)
2188.weight: 87,248/87,552 zeros (99.65%)
2190.weight: 73,410/73,728 zeros (99.57%)
2192.weight: 73,248/73,728 zeros (99.35%)
2194.weight: 73,440/73,728 zeros (99.61%)
2196.weight: 81,283/81,664 zeros (99.53%)
2198.weight: 91,553/91,872 zeros (99.65%)
2200.weight: 91,206/91,584 zeros (99.59%)
2202.weight: 91,266/91,584 zeros (99.65%)
2204.weight: 90,636/91,008 zeros (99.59%)
2206.weight: 90,692/91,008 zeros (99.65%)
2208.weight: 89,496/89,856 zeros (99.60%)
2210.weight: 89,544/89,856 zeros (99.65%)
2212.weight: 87,216/87,552 zeros (99.62%)
2214.weight: 87,248/87,552 zeros (99.65%)
2216.weight: 73,410/73,728 zeros (99.57%)
2218.weight: 85,584/86,016 zeros (99.50%)
2220.weight: 99,120/99,456 zeros (99.66%)
2222.weight: 100,204/100,640 zeros (99.57%)
2224.weight: 112,412/112,880 zeros (99.59%)
2226.weight: 124,031/124,500 zeros (99.62%)
2228.weight: 149,125/149,625 zeros (99.67%)
2230.weight: 163,089/163,590 zeros (99.69%)
2232.weight: 164,320/164,820 zeros (99.70%)
2234.weight: 165,126/165,624 zeros (99.70%)
2236.weight: 165,952/166,448 zeros (99.70%)
2238.weight: 165,960/166,448 zeros (99.71%)
2240.weight: 165,964/166,448 zeros (99.71%)
2242.weight: 164,368/164,832 zeros (99.72%)
2244.weight: 162,744/163,200 zeros (99.72%)
2246.weight: 140,370/140,800 zeros (99.69%)
2248.weight: 100,994/101,376 zeros (99.62%)
2250.weight: 82,464/82,944 zeros (99.42%)
2252.weight: 73,440/73,728 zeros (99.61%)
2254.weight: 81,283/81,664 zeros (99.53%)
2256.weight: 91,553/91,872 zeros (99.65%)
2258.weight: 91,206/91,584 zeros (99.59%)
